tench,"tench, Tinca tinca"
weighing scale,"scale, weighing machine"
school bus,school bus
schooner,schooner
scoreboard,scoreboard
CRT monitor,"screen, CRT screen"
screw,screw
screwdriver,screwdriver
seat belt,"seat belt, seatbelt"
sewing machine,sewing machine
shield,"shield, buckler"
shoe store,"shoe shop, shoe-shop, shoe store"
shoji screen / room divider,shoji
shopping basket,shopping basket
shopping cart,shopping cart
shovel,shovel
shower cap,shower cap
shower curtain,shower curtain
ski,ski
balaclava ski mask,ski mask
sleeping bag,sleeping bag
slide rule,"slide rule, slipstick"
sliding door,sliding door
slot machine,"slot, one-armed bandit"
snorkel,snorkel
snowmobile,snowmobile
snowplow,"snowplow, snowplough"
soap dispenser,soap dispenser
soccer ball,soccer ball
sock,sock
solar thermal collector,"solar dish, solar collector, solar furnace"
sombrero,sombrero
soup bowl,soup bowl
keyboard space bar,space bar
space heater,space heater
space shuttle,space shuttle
spatula,spatula
motorboat,speedboat
spider web,"spider web, spider's web"
spindle,spindle
sports car,"sports car, sport car"
spotlight,"spotlight, spot"
stage,stage
steam locomotive,steam locomotive
through arch bridge,steel arch bridge
steel drum,steel drum
stethoscope,stethoscope
scarf,stole
stone wall,stone wall
stopwatch,"stopwatch, stop watch"
stove,stove
strainer,strainer
tram,"streetcar, tram, tramcar, trolley, trolley car"
stretcher,stretcher
couch,"studio couch, day bed"
stupa,"stupa, tope"
submarine,"submarine, pigboat, sub, U-boat"
suit,"suit, suit of clothes"
sundial,sundial
sunglasses,sunglass
sunglasses,"sunglasses, dark glasses, shades"
sunscreen,"sunscreen, sunblock, sun blocker"
suspension bridge,suspension bridge
mop,"swab, swob, mop"
sweatshirt,sweatshirt
swim trunks / shorts,"swimming trunks, bathing trunks"
swing,swing
electrical switch,"switch, electric switch, electrical switch"
syringe,syringe
table lamp,table lamp
tank,"tank, army tank, armored combat vehicle, armoured combat vehicle"
tape player,tape player
teapot,teapot
teddy bear,"teddy, teddy bear"
television,"television, television system"
tennis ball,tennis ball
thatched roof,"thatch, thatched roof"
front curtain,"theater curtain, theatre curtain"
thimble,thimble
threshing machine,"thresher, thrasher, threshing machine"
throne,throne
tile roof,tile roof
toaster,toaster
tobacco shop,"tobacco shop, tobacconist shop, tobacconist"
toilet seat,toilet seat
torch,torch
totem pole,totem pole
tow truck,"tow truck, tow car, wrecker"
toy store,toyshop
tractor,tractor
semi-trailer truck,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
tray,tray
trench coat,trench coat
tricycle,"tricycle, trike, velocipede"
trimaran,trimaran
tripod,tripod
triumphal arch,triumphal arch
trolleybus,"trolleybus, trolley coach, trackless trolley"
trombone,trombone
hot tub,"tub, vat"
turnstile,turnstile
typewriter keyboard,typewriter keyboard
umbrella,umbrella
unicycle,"unicycle, monocycle"
upright piano,"upright, upright piano"
vacuum cleaner,"vacuum, vacuum cleaner"
vase,vase
vaulted or arched ceiling,vault
velvet fabric,velvet
vending machine,vending machine
vestment,vestment
viaduct,viaduct
violin,"violin, fiddle"
volleyball,volleyball
waffle iron,waffle iron
wall clock,wall clock
wallet,"wallet, billfold, notecase, pocketbook"
wardrobe,"wardrobe, closet, press"
military aircraft,"warplane, military plane"
sink,"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
washing machine,"washer, automatic washer, washing machine"
water bottle,water bottle
water jug,water jug
water tower,water tower
whiskey jug,whiskey jug
whistle,whistle
hair wig,wig
window screen,window screen
window shade,window shade
Windsor tie,Windsor tie
wine bottle,wine bottle
airplane wing,wing
wok,wok
wooden spoon,wooden spoon
wool,"wool, woolen, woollen"
split-rail fence,"worm fence, snake fence, snake-rail fence, Virginia fence"
shipwreck,wreck
sailboat,yawl
yurt,yurt
website,"web site, website, internet site, site"
comic book,comic book
crossword,"crossword puzzle, crossword"
traffic or street sign,street sign
traffic light,"traffic light, traffic signal, stoplight"
dust jacket,"book jacket, dust cover, dust jacket, dust wrapper"
menu,menu
plate,plate
guacamole,guacamole
consomme,consomme
hot pot,"hot pot, hotpot"
trifle,trifle
ice cream,"ice cream, icecream"
popsicle,"ice lolly, lolly, lollipop, popsicle"
baguette,French loaf
bagel,"bagel, beigel"
pretzel,pretzel
cheeseburger,cheeseburger
hot dog,"hotdog, hot dog, red hot"
mashed potatoes,mashed potato
cabbage,head cabbage
broccoli,broccoli
cauliflower,cauliflower
zucchini,"zucchini, courgette"
spaghetti squash,spaghetti squash
acorn squash,acorn squash
butternut squash,butternut squash
cucumber,"cucumber, cuke"
artichoke,"artichoke, globe artichoke"
bell pepper,bell pepper
cardoon,cardoon
mushroom,mushroom
Granny Smith apple,Granny Smith
strawberry,strawberry
orange,orange
lemon,lemon
fig,fig
pineapple,"pineapple, ananas"
banana,banana
jackfruit,"jackfruit, jak, jack"
cherimoya (custard apple),custard apple
pomegranate,pomegranate
hay,hay
carbonara,carbonara
chocolate syrup,"chocolate sauce, chocolate syrup"
dough,dough
meatloaf,"meat loaf, meatloaf"
pizza,"pizza, pizza pie"
pot pie,potpie
burrito,burrito
red wine,red wine
espresso,espresso
tea cup,cup
eggnog,eggnog
mountain,alp
bubble,bubble
cliff,"cliff, drop, drop-off"
coral reef,coral reef
geyser,geyser
lakeshore,"lakeside, lakeshore"
promontory,"promontory, headland, head, foreland"
sandbar,"sandbar, sand bar"
beach,"seashore, coast, seacoast, sea-coast"
valley,"valley, vale"
volcano,volcano
baseball player,"ballplayer, baseball player"
bridegroom,"groom, bridegroom"
scuba diver,scuba diver
rapeseed,rapeseed
daisy,daisy
yellow lady's slipper,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
corn,corn
acorn,acorn
rose hip,"hip, rose hip, rosehip"
horse chestnut seed,"buckeye, horse chestnut, conker"
coral fungus,coral fungus
agaric,agaric
gyromitra,gyromitra
stinkhorn mushroom,"stinkhorn, carrion fungus"
earth star fungus,earthstar
hen of the woods mushroom,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa"
bolete,bolete
corn cob,"ear, spike, capitulum"
toilet paper,"toilet tissue, toilet paper, bathroom tissue"
